Nombre,Resumen,Tipo de entidad,Categorías,Dirección (calle y nº),Dirección (resto),C.P.,Población,Provincia,Zona,Latitud,Longitud,Teléfono 1,Teléfono 2,Fax,Correo electrónico 1,Correo electrónico 2,Web 1,Web 2,Año de creación,Forma jurídica,Descripción general,Objetivo como entidad,Finanzas,Valores sociales y medioambientales,Forma de acceso,Redes de las que forma parte,Otras entidades con las que colabora,Proyectos en marcha,Necesidades,Ofrecimientos,Información adicional,Fecha última actualización
 Asociacion de vecinos ARCUSVES -Banco del Tiempo de Churriana,,Asociación,Banco de tiempo - Municipal,Gonzalo de Berceo s/n,Churriana,29140,Málaga,Málaga,Churriana Distrito,36.6689104,-4.5031482,692315846,952435951,,bdtchurriana@gmail.com,arcusves@gmail.com,https://es-es.facebook.com/.../BANCO-del-TIEMPO-CHURRIANA/,http://arcusves.blogspot.com/,2011,,"Banco de Tiempo , gestionadado por la Asociación de Vecinos ARCUSVES , en la linea de Banco de Tiempo: Es el primer banco que funciona sin dinero, únicamente se puede depositar tiempo y su moneda es la hora. En el banco del tiempo se intercambian servicios entre personas y para ello se usa la moneda-tiempo. y una apuesta por el Trueque , que realizamos los 1º viernes de més .",,,,,,,,,,,2015-06-16 11:34:31
A bona hora - Ecoxarxa del Bages,,Asamblea,Moneda/Mercado social - Todos,,,08241,Manresa,Barcelona,Bages,41.7292826,1.8225154,618547281,,,horabages@gmail.com,,http://abonahora.wordpress.com/,,2011,,,,,,,,,,,,,2013-11-28 09:03:39
Acción Anticrisis,Banco de tiempo con moneda social,Asociación,Moneda/Mercado social - Todos,C/Virgen de la Fuensanta,,29007,Málaga,Málaga,Málaga,None,None,685984491,,,info@endocracia.org,,http://www.endocracia.org/,http://coin.endocracia.org/,2013,,,,,,,,,,,,,2014-03-12 08:45:45
ADMH 999,,Asociación,Red de trueque - Todos,"Les Berques 26, Playa , ",,08860,Castelldefels,Barcelona ,Playa,41.2800161,1.9766294,633498758,,,rosalespelegrino@gmail.com,,,,1995,,Compartir con todos nuestros contenidos y actividades.,,,,,,,,,,,2014-11-20 19:12:06
Agiantza Time Bank - ATB,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ Dos de Mayo, 20 bjo.",,48003,Bilbao,Vizcaya,,43.2568343,-2.9294646,944 154 988,,,agiantza@agiantza.org,,,,None,,,,,,,,,,,,,2013-06-07 19:40:20
Aiztondo denbora bankua,,Grupo/colectivo,Banco de tiempo - Municipal,"Muñoa Kalea, 36 bajo","Bibliotecas: Aduna, Alkiza, Larraul",20159,Zizurkil,Guipúzcoa,,43.2097349,-2.0304287,943 693 930,,,aiztondokodenborabankua@gmail.com,,http://aiztondo.trukeados.net/,,None,,,,,,,,,,,,,2013-11-28 09:04:28
alvaro gabriel castillo vasquez,,Otros,Banco de tiempo - Municipal,,,,,,,None,None,,,,,,,,None,,,,,,,,,,,,,2014-01-15 10:53:38
ARKITO,Red de moneda social Arkitos,Otros,Moneda/Mercado social - Todos,,,,Arcos de la Frontera,Cádiz,,36.754711,-5.809829,,,,arkitos.ms@gmail.com,,http://redarkitos.uhostfull.com/,http://www.facebook.com/RedMonedaSocialArkitos,None,,,,,,,,,,,,,2013-05-01 15:10:55
Asamblea Popular Barrio de Las Letras,,Asamblea,Red de trueque - Todos,Plaza de Santa Ana,,28014,Madrid,Madrid,Barrio de Las Letras (Centro),40.4146822,-3.6996147,,,,tomaelbarriodelasletras@gmail.com,,http://letras.tomalosbarrios.net/,,2011,,"La Asamblea Popular Barrio de Las Letras organizamos el ya tradicional Trueque de Libros en la Plaza de Santa Ana, junto a la estatua de Lorca. Todos los primeros domingos de mes entre las 11:30 y las 13:30 (si la lluvia no lo impide) 
",,,,,,,,,,,2013-10-16 07:58:13
ASE (Asociación de Abulenses Sin Empleo),"ESTAMOS SIN EMPLEO, NO ESTAMOS PARADOS.",Asociación,Moneda/Mercado social - Todos,"C/ San Juan de la Cruz, nº 8",2ª planta,05001,Ávila,Ávila,Castilla y Leon,40.6541763,-4.6933677,920 22 18 47  ext 24,607 07 35 60 presidente,,abulensesinempleo@gmail.com,,http://www.ase.org.es/,,2013,,"ASE, unifica en uno, algunos de  los actuales sistemas de la nueva economía social y solidaria, coordinando conjuntamente el “BANCO DE TIEMPO”, la “MONEDA SOCIAL” y el “MERCADO DE TRUEQUE SOCIAL”.
ASE, nace sin colores ni banderas, sin ideologías ni religión, sin depender de ningún grupo de fuerza y/o presión, donde todos cabemos, desempleados, jubilados, amas de casa  y trabajadores de cualquier índole, creencia o religión. 
Gracias al apoyo de Cáritas Diocesana de Ávila, nuestra ubicación se encuentra en sus instalaciones de la Calle San Juan de la Cruz, nº 8, 05001 Ávila.
Fue autorizada como Asociación sin ánimo de lucro, de Ámbito regional, por  parte de la Junta de Castilla y León con el nº 0002339.
",,,,,,,,,,,2013-11-18 10:04:28
Associació Banc de temps de Breda,,Asociación,Banco de tiempo - Comunitario,,,17400,Breda,Breda,,None,None,,,,bancdetempsdebreda@gmail.com,,http://bancdetempsdebreda.wordpress.com/,,2011,,"El Banc de Temps de Breda és una associació sense cap ànim de lucre creada per iniciativa popular, independentment de qualsevol institució pública o partit polític. Es tracta d’una xarxa d’intercanvi de serveis entre els bredencs i les bredenques que en formen part, i també gent de Riells o Sant Feliu de Buixalleu, Arbúcies, Maçanet

Com a altres pobles del voltant, el Banc de Temps de Breda és fruit d’uns valors com la solidaritat: conèixer i treballar amb els nostres veïns; la igualtat: tothom disposa de temps, homes i dones, advocats o cambrers; i també, és clar, de la situació de crisi econòmica actual.",,,,,,,,,,,2014-01-15 10:51:26
Associació Banc Del Temps de Granollers,,Asociación,Banco de tiempo - Municipal,Carrer Rec nº 19,Can Jonch,08401,Granollers,Barcelona,Vallès Oriental,41.6095035,2.2850627,938426834,,,bancdeltempsgranollers@gmail.com,,https://www.facebook.com/bancdeltempsdegranollers,,2013,,"Els fins de l’associació són:
a) Fomentar la cooperació i la participació ciutadana a traves dels diferents serveis que es puguin oferir i rebre.
b) Oferir cobertura a les diferents necessitats dels ciutadans a traves de la solidaritat i la cooperació.
c) Potenciar valors de solidaritat, convivència i igualtat d'oportunitats.

Per aconseguir les seves finalitats, l’associació realitza les activitats següents:

Gestió de projectes en els àmbits de la cooperació, la solidaritat i la reciprocitat.

L'Associació no es prestarà a cap proselitisme polític ni religiós.

En queda exclòs tot ànim de lucre.
",,,,,,,,,,,2015-02-24 09:10:24
"Associació Banc del Temps de la Garrotxa ""BaTeGa""",,Asociación,Banco de tiempo - Comunitario,"Passeig d'en Blai, núm. 6","Passeig d'en Blai, núm. 6",17800,Olot,Girona,,42.1822078,2.4880242,972263411,972263411,,banctempsgarrotxa@gmail.com,,http://bategabdtgarrotxa.wordpress.com/,http://www.bdtgarrotxa.org/,2013,,"La finalitat del Banc del Temps de la Garrotxa ""BATEGA"" és convertir el teu temps lliure en temps compartit, bàsicament la de intercanviar necessitats per habilitats, sense ànim de lucre ni cap mediació monetària. L'usuari rep un servei i/o formació d’ algú altre durant un període de temps, i es compromet a prestar un servei igualment prolongat. És a dir, “el troc funciona a través de crèdits mutus en forma de temps”. Cada usuari rep un talonari per efectuar els pagaments, i és titular d’un “compte corrent” que registra el saldo de temps disponible. La unitat d'intercanvi és l'hora, independentment del servei que s'ofereixi o que es rebi. Cada servei, coneixement o habilitat intercanviada té el mateix valor, mesurat en unitats de temps, independentment que el donant sigui un principiat o un expert.
Les transaccions es regulen amb el intercanvi físic d'uns xecs de temps, que es donen en forma de talonari als socis del banc. Una secretaria centralitza la gestió d'ofertes i demandes, posant en contacte a les persones, i controlant l'estat de saldo de les hores donades i rebudes.
Els intercanvis no són bilaterals (“jo et dono i tu em dones”) si no multilaterals: s’ofereix oferta i demanda a una borsa de serveis, coneixements i habilitats del Banc de temps de forma que la persona A ajuda a B, B ajuda a C, C ajuda a D, i D ajuda a A.

Solidaritat, intercanvi de temps: Coneixements, talents i molt més! ",,,,,,,,,,,2013-11-18 10:11:33
Ateneu l'Entrebanc,"Espacio Social, Politico y Cultural enfocado a difundir la autogestión en cada ámbito y a hacr crecer el tejido vecinal.",Centro social,Red de trueque - Todos,"c/ COmte d'Urgell, 98",,08011,Barcelona,barcelona,Catalunya,41.3835448,2.1569726,,,,ateneulentrebanc@riseup.net,,http://www.ateneulentrebanc.tk/,,2014,,"L’Ateneu l’Entrebanc es concep com un espai social, cultural i polític encarat a la lluita veïnal. Es tracta d’un punt de trobada de veïnes i veïns, un espai alliberat per a moviments socials, associacions i assemblees vàries que volen col·laborar en l’espai. En aquest sentit, és un espai obert i inclusiu, on tenen cabuda tota mena de sensibilitats, activitats, ideologies i edats, amb l’horitzontalitat i l’autogestió com a base.

L’objectiu és crear i alimentar la xarxa veïnal i el suport mutu. Al mateix temps que donar cabuda a les iniciatives que ens motiven i inquieten com a veïns. Seguint aquesta línia, no es concep ni com a bar ni com a habitatge, sinó com a punt d’encontre de la lluita social, tant des del punt de vista organitzatiu, didàctic i lúdic. La forma i els continguts els construïm entre totes, suplint les nostres necessitats des de la base, cercant alternatives basades en les persones i el respecte a la natura",,,,,,,,,,,2014-11-18 16:31:27
