Nombre,Resumen,Tipo de entidad,Categorías,Dirección (calle y nº),Dirección (resto),Dirección sin cp,C.P.,Dirección,Población,Provincia,Zona,Comunidad autónoma,Barrio,Distrito,Comarca,Ámbito,Latitud,Longitud,Teléfono 1,Teléfono 2,Fax,Correo electrónico 1,Correo electrónico 2,Web 1,Web 2,Año de creación,Forma jurídica,Descripción general,Objetivo como entidad,Finanzas,Valores sociales y medioambientales,Forma de acceso,Redes de las que forma parte,Otras entidades con las que colabora,Proyectos en marcha,Necesidades,Ofrecimientos,Información adicional,Fecha última actualización
Agiantza Time Bank - ATB,,Grupo/colectivo,Banco de tiempo - Municipal,"C/ Dos de Mayo, 20 bjo.",,"C/ Dos de Mayo, 20 bjo. ",48003,"C/ Dos de Mayo, 20 bjo. 48003",Bilbao,Vizcaya,,País Vasco,,,,,43.2568343,-2.9294646,944 154 988,,,agiantza@agiantza.org,,,,,,,,,,,,,,,,,2013-06-07 19:40:20
Aiztondo denbora bankua,,Grupo/colectivo,Banco de tiempo - Municipal,"Muñoa Kalea, 36 bajo","Bibliotecas: Aduna, Alkiza, Larraul","Bibliotecas: Aduna, Alkiza, Larraul - Muñoa Kalea, 36 bajo",20159,"Bibliotecas: Aduna, Alkiza, Larraul - Muñoa Kalea, 36 bajo 20159",Zizurkil,Gipuzkoa,,País Vasco,,,,,43.2097349,-2.0304287,943 693 930,,,aiztondokodenborabankua@gmail.com,,http://aiztondo.trukeados.net/,,,,,,,,,,,,,,,2013-11-28 09:04:28
Banc de Cultures,Banco del tiempo lingüístico y cultural,Otros,Banco de tiempo - Municipal,"Centre Flassaders C/ Ferreria, 10",4ª planta,"Centre Flassaders C/ Ferreria, 10 4ª planta",07002,"Centre Flassaders C/ Ferreria, 10 4ª planta 07002",Palma de Mallorca,Baleares,,Islas Baleares,,,,,39.5707789,2.6546575,971228756,,,bancdecultures@palma.es,,,,2014,,"El Banc de Cultures (Banco del Tiempo lingüístico y cultural) es un proyecto que surge a iniciativa del Área de Educación, Familia, Mayores e Immigración del Ayuntamiento de Palma. Pretende ser un espacio de convivencia entre personas de orígenes culturales diversos y de intercambio de conversación en catalán, castellano y otros idiomas y donde se podrán adquirir y compartir conocimientos de alrededor del mundo.",,,,,,,,,,,2015-02-19 14:57:53
Banc del Temps Barceloneta,,Grupo/colectivo,Banco de tiempo - Municipal,C/ Conreria 1-9,Centre Cívic Municipal,Centre Cívic Municipal - C/ Conreria 1-9,08003,Centre Cívic Municipal - C/ Conreria 1-9 08003,Barcelona,Barcelona,Ciutat Vella,Cataluña,Ciutat Vella,,,Barrio,41.3802854,2.1923587,932563312,,,bdt_barceloneta@hotmail.com,,http://www.facebook.com/bdtbarceloneta,,2007,,,,,,,,,,,,,2013-11-12 12:23:01
Banc del Temps Civis Canyelles,,Asociación,Banco de tiempo - Comunitario,Av. Daltmar 15,casa,Av. Daltmar 15 casa,08811,Av. Daltmar 15 casa 08811,Canyelles- El Garraf,Barcelona,Municipi de Canyelles,Cataluña,,,,Municipio,41.2861949,1.7196685,609 134 184  (Roser),605 678 628 (Carmen),no en tenim,associaciocivis@gmail.com,,https://www.facebook.com/civis.associacio,http://bancdetempsdecanyelles.blogspot.com.es/,2013,,"CIVIS-Canyelles és una entitat sense ànim de lucre adscrita al registre d'entitats de la Generalitat de Catalunya que vol promoure accions en ciutadania activa. La nostra primera actuació és el desenvolupament del BdT del nostre municipi: Canyelles- El Garraf-
Tenim una boseta,encara petita, de sòcis del BdT però de mica en mica es va sentit la nostra veu i la filosofia comunitària i solidària en el territori del nostre poble.
Ens agradaria  associar-nos ,estar informades/formades i col.laborar amb la vostra proposta",,,,,,,,,,,2014-04-08 09:01:04
Banc del Temps Club Maginet,Nuestro lema es PEDIR SIN MOLESTAR PARA DAR SIN OFENDER,Asociación,Banco de tiempo - Comunitario,Ramon y Cajal 39 7 2,,Ramon y Cajal 39 7 2 ,43001,Ramon y Cajal 39 7 2 43001,Tarragona,Tarragona,Toda  la ciudad,Islas Baleares,,,,Municipio,41.1161514,1.2447928,687424975,977243925,,clubmaginet.bancdeltemps@gmail.com,,,,2014,,COLGAMOS LA INFORMACION EN UNA PÀGINA DE FACEBOOK QUE SE LLAMA: BANC DEL TEMPS DEL CLUB MAGINET,,,,,,,,,,,2014-07-08 13:09:45
Banc del Temps d'Arenys,,Asociación,Banco de tiempo - Municipal,,, ,08350, 08350,Arenys de Mar,Barcelona,,Cataluña,,,,Municipio,41.5797073,2.5508683,,,,bancdeltempsdarenys@gmail.com,,,,,,,,,,,,,,,,,2015-02-19 15:00:26
Banc del Temps d'El Vendrell (Temps en Xarxa),,Grupo/colectivo,Banco de tiempo - Municipal,"Hotel d'Entitats, Cami Reial 13-17 1pis",,"Hotel d'Entitats, Cami Reial 13-17 1pis ",43700,"Hotel d'Entitats, Cami Reial 13-17 1pis 43700",El Vendrell,Tarragona,Baix Penedès,Cataluña,,,Baix Penedès,Comarca,41.2145828,1.5312694,977.66.40.02,,977.66.46.79,tempsenxarxa@gmail.com,,,,,,"Atenció al usuari i noves inscripcions:

dilluns, dimecres i divendres de 9:30-11:30.

QUÈ ÈS UN BANC DE TEMPS?
És una xarxa comunitària d’intercanvi de serveis que potencia l’ajuda  mútua i que fomenta la confiança en els altres en condicions d’igualtat. 
  Com funciona?  
El funcionament del BdT es basa en l’oferta i la demanda de serveis. Cada usuari proposa el que està disposat a oferir i, alhora, el que vol rebre. 
La moneda de canvi és el temps 
(1 hora d’ajuda = 1 hora de temps a pagar). 
  Com formar part del BdT?
Tothom pot formar part del banc de temps, només cal inscriure’s a la Secretaria del BdT. 
  Quins serveis es poden intercanviar? 
Els serveis que s'intercanvien els proposen els mateixos usuaris. Per exemple: 
• acompanyar gent gran a comprar
• practicar idiomes
• reparacions domèstiques
• passejar gossos
• passar textos a l'ordinador
• tasques de jardineria 
• assessorament laboral
•  art i artesania 
• assessorament i orientació general
• compres i comerç 
• cuina 
• cultura 
• tenir cura d'animals 
• esports i animació 
• informàtica i altres tecnologies
• lleure i entreteniment 
• obra i construcció 
• serveis a la comunitat 
• teràpies alternatives 
• transport 
• treballs de jardineria 
• treballs de la llar 
• etc",,,,,,,,,,,2014-12-18 17:41:22
Banc del Temps d'Horta,,Grupo/colectivo,Banco de tiempo - Municipal,"Plaça Santes Creus, 8",Centre Serveis Socials,"Centre Serveis Socials - Plaça Santes Creus, 8",08031,"Centre Serveis Socials - Plaça Santes Creus, 8 08031",Barcelona,Barcelona,,Cataluña,,,,,41.4303108,2.1622215,,,,bdthorta@gmail.com,,,,,,,,,,,,,,,,,2013-06-09 23:06:34
Banc del Temps de Breda,,Asociación,Banco de tiempo - Comunitario,,, ,17400, 17400,Breda,Girona,,Cataluña,,,,,,,,,,bancdetempsdebreda@gmail.com,,http://bancdetempsdebreda.wordpress.com/,,2011,,"El Banc de Temps de Breda és una associació sense cap ànim de lucre creada per iniciativa popular, independentment de qualsevol institució pública o partit polític. Es tracta d’una xarxa d’intercanvi de serveis entre els bredencs i les bredenques que en formen part, i també gent de Riells o Sant Feliu de Buixalleu, Arbúcies, Maçanet

Com a altres pobles del voltant, el Banc de Temps de Breda és fruit d’uns valors com la solidaritat: conèixer i treballar amb els nostres veïns; la igualtat: tothom disposa de temps, homes i dones, advocats o cambrers; i també, és clar, de la situació de crisi econòmica actual.",,,,,,,,,,,2014-01-15 10:51:26
Banc del Temps de Cabrera de Mar,,Grupo/colectivo,Banco de tiempo - Municipal,"Av. Pare Jaume Català, 30-36, local 4 ",,"Av. Pare Jaume Català, 30-36, local 4  ",08349,"Av. Pare Jaume Català, 30-36, local 4 08349",Cabrera de Mar,Barcelona,,Cataluña,,,,,41.527928,2.393603,93 750 62 88,667 183 136,,,bancdeltemps@cabrerademar.cat,http://bancdeltempscabrerademar.blogspot.com.es/,https://www.facebook.com/bancdeltempscabrerademar,,,"Som un grup de persones vinculades a Cabrera de Mar que volem compartir el nostre temps amb altra gent. Mitjançant els intercanvis coneixem gent, resolem petits problemes de la vida quotidiana i fem activitats socials.",,,,,,,,,,,2015-04-07 08:07:39
Banc del Temps de Cardedeu,,Asociación,Banco de tiempo - Comunitario,,, ,08440, 08440,Cardedeu,Barcelona,VALLÈS ORIENTAL,Cataluña,,,,Municipio,41.63857,2.357459,666780303,,,bancdeltempsdecardedeu@gmail.com,,http://bancdeltempsdecardedeu.blogspot.com.es/,http://aprencardedeu.blogspot.com.es/,2005,,"El Banco del tiempo de Cardedeu somos una entidad sin ánimo de lucro, creada en 2005, que tenemos como finalidad promover el intercambio de conocimientos, habilidades y servicios entre las personas para fomentar la comunidad, colaborar, ayudarnos, conversar, compartir momentos de ocio, aficiones, favorecer la reutilización y ahorrar. Actualmente la gestión de los intercambios se hace on line a través de los formularios de nuestro blog.
También impulsamos, desde octubre de 2010, los talleres de intercambio lingüístico ""Aprenem Cardedeu"": aprendemos la lengua que queremos y enseñamos la que sabemos leyendo y hablando. Cada miércoles por la tarde nos encontramos en la biblioteca del pueblo y aprovechamos este encuentro semanal también como un espacio presencial para informar a personas interesadas o facilitar el contacto para los intercambios.",,,,,,,,,,,2013-06-17 09:30:13
Banc del Temps de Dosrius,,Asociación,Banco de tiempo - Comunitario,C/ Sant Antoni 9,Rectoria Vella,Rectoria Vella - C/ Sant Antoni 9,08319,Rectoria Vella - C/ Sant Antoni 9 08319,Dosrius,Barcelona,,Cataluña,,,,,41.5946836,2.4060321,639349603,645930581,,,,http://bancdeltempsdosrius.blogspot.com.es/,http://www.bancdeltempsdosrius.org/,,,"Este es un proyecto auspiciado por el Ateneu Cultural y Social-Espacio Solidario 2 Rius, que tiene como objetivo el desarrollar toda una serie de colaboración, participación, cohesión y relaciónes de confinaza entre los usuarios y ciudadanos que creen en su filosofia, acepten su ideario y cumplan con la base fundamental, promover la reciprocidad como forma de intercambio ciudadano.",,,,,,,,,,,2013-06-12 23:52:57
Banc del Temps de Gavà (BATEGA),,Grupo/colectivo,Banco de tiempo - Municipal,"Rambla de Joaquim Vayreda, 3",Casal Municipal d'Entitats Sant Jordi,"Casal Municipal d'Entitats Sant Jordi - Rambla de Joaquim Vayreda, 3",08050,"Casal Municipal d'Entitats Sant Jordi - Rambla de Joaquim Vayreda, 3 08050",Gavà,Barcelona,Baix Llobregat,Cataluña,,,Baix Llobregat,Comarca,41.3049666,2.0080843,Telèfon 93 6333629 Horari: dimarts i dijous de 18 a 20 h.,"Telèfon 93 2639100, extensió 9222 Horari: divendres de 10 a 12 h.",,vobatega@gmail.com,,http://www.bancdeltempsgava.cat/,,,,"El Banc del Temps de Gavà és un projecte de millora de la convivència entre les persones a través de l'intercanvi del seu temps.

Aquest sistema d’intercanvi té per objectiu establir una xarxa d'ajuda mútua i reforçar els llaços comunitaris de Gavà i altres municipis.

És una iniciativa comunitària d'intercanvi, té simbòlicament el funcionament d'un banc, però en el qual allò que es ""presta"" i es ""rep"" és temps dedicat a serveis a les persones.

El Banc del Temps de Gavà (BATEGA) es va crear el 2008 i actualment està format per uns cent trenta-tres usuaris i usuàries que intercanvien el seu temps, habilitats i coneixements. ",,,,,,,,,,,2014-02-05 09:15:22
Banc del Temps de Gràcia,,Grupo/colectivo,Banco de tiempo - Comunitario,"Plaça Del Nord, 7-10 - Llüisos de Gràcia",,"Plaça Del Nord, 7-10 - Llüisos de Gràcia ",08024,"Plaça Del Nord, 7-10 - Llüisos de Gràcia 08024",Barcelona,Barcelona,,Cataluña,,,,,41.4072589,2.1555639,932 183 372 Ext.6,,,bancdeltempsgracia@lluisosdegracia.cat,,http://gracia.bdtonline.org/,,2004,,,,,,,,,,,,,2013-06-22 16:06:03
